레시피명,재료,재료목록
산나물된장찌개,"재료 곤드레나물(25g), 고구마순(10g), 취나물(20g), 애호박(20g), 양파(10g)
청양고추(3g), 대파(1g), 순두부(40g)
저염재래된장 콩(백태, 5g), 표고버섯(5g), 저염된장(10g), 날콩가루(10g)
육수 물(250g), 멸치(2g), 다시마(2g)
양념 다진 마늘(1.5g), 고춧가루(2g), 들깻가루(3g)","['양파', '표고버섯', '저염재래된장콩백태', '고구마순', '멸치', '다시마', '재료곤드레나물', '고춧가루', '육수물', '청양고추', '저염된장', '들깻가루', '애호박', '순두부', '대파', '날콩가루', '취나물', '양념다진마늘']"
토마토요구르트된장국,"재료 표고버섯(15g), 팽이버섯(35g), 양송이(30g), 새송이버섯(17g)
양파(25g), 대파(3g), 청양고추(3g), 토마토(25g)
된장양념 콩가루(5g), 요구르트(15g), 저염된장(10g)
육수 멸치(2g), 다시마(1g), 물(400g)
양념 다진 마늘(2g), 고춧가루(0.7g), 들깻가루(8g)","['양파', '요구르트', '팽이버섯', '육수멸치', '된장양념콩가루', '다시마', '고춧가루', '양송이', '대파', '청양고추', '새송이버섯', '저염된장', '들깻가루', '토마토', '재료표고버섯', '양념다진마늘']"
굴림만두된장국,"재료 풋고추(1g), 붉은 고추(1g), 애호박(5g), 팽이버섯(5g), 두부(20g)
굴림만두 새송이버섯(10g), 닭가슴살(25g), 양파(40g), 마늘(8g), 부추(4g)
두부(25g), 간장(5g), 녹말가루(15g), 밀가루(15g)
육수 돼지고기(앞다리살, 100g), 무(70g), 양파(40g), 대파(40g)
저염된장(10g), 물(400g)","['두부', '양파', '밀가루', '팽이버섯', '부추', '붉은고추', '재료풋고추', '마늘', '육수돼지고기앞다리살', '대파', '저염된장', '닭가슴살', '애호박', '녹말가루', '간장', '굴림만두새송이버섯']"
해물순두부된장찌개,"재료 바지락(5g), 주꾸미(60g), 마른 미역(1g), 마른 표고버섯(10g)
순두부(80g), 대파(5g)
육수 멸치(2g)
양념 된장(7g), 콩가루(10g)","['마른미역', '재료바지락', '양념된장', '육수멸치', '콩가루', '마른표고버섯', '순두부', '대파', '주꾸미']"
곤약함박스테이크,"재료 새송이버섯(10g), 가지(10g), 브로콜리(15g), 양파(10g), 파프리카(30g)
방울토마토(15g), 아스파라거스(10g), 올리브유(10g), 어린잎채소(5g)
스테이크반죽 곤약(80g), 두부(80g), 쇠고기(40g), 양파(5g), 당근(5g)
셀러리(5g), 마늘(2g), 대파(3g), 맛술(7.5g), 후춧가루(2g)
찹쌀가루(30g), 빵가루(20g), 달걀(10g)
유자청간장소스 유자청(20g), 저염간장(5g), 물(30g)","['양파', '두부', '쇠고기', '저염간장', '방울토마토', '대파', '재료새송이버섯', '올리브유', '달걀', '빵가루', '후춧가루', '맛술', '가지', '어린잎채소', '마늘', '스테이크반죽곤약', '찹쌀가루', '아스파라거스', '브로콜리', '당근', '셀러리', '파프리카']"
청국장 두부 검은깨 냉스프,"냉스프
두부 120g(1/3모), 플레인요거트 70g(1개), 검은깨 8g(1⅔작은술)
고명
청국장가루 10g(1큰술)","['두부', '검은깨', '냉스프', '청국장가루', '플레인요거트']"
호박 고구마 스프,"호박고구마스프
고구마 70g(1/2개), 단호박 30g(4×6cm), 우유 100ml(1/2컵), 설탕 2g(1/3작은술), 물 50ml(1/4컵)","['단호박', '호박고구마스프', '설탕', '우유', '고구마']"
시금치 리조또,"밥 180g(1컵), 시금치 50g(1/2개), 마 10g(5cm), 두유 150g(3/4컵), 소금 1g, 버터 8g(1½작은술), 후춧가루 1g","['두유', '버터', '후춧가루', '시금치', '소금']"
북어비빔밥,"주재료
밥 210g(1컵), 북어 15g, 당근 15g(5cm), 애호박 15g(5cm), 달걀 100g(2개), 고사리 15g, 표고버섯 15g(2개), 우렁 25g(2큰술), 들기름 5g(1작은술) 장식
베이비채소 5g, 식용꽃 5g","['당근', '표고버섯', '우렁', '달걀', '북어', '애호박', '주재료', '베이비채소', '식용꽃', '고사리']"
무 현미밥,"●주재료 : 현미 140g(2/3컵), 찹쌀 140g(2/3컵), 무 35g(1/20개), 표고버섯 30g(2개) 근대 10g, 올리브오일 15g(1큰술), 참기름 15g(1큰술)
●육수 :뒤포리(밴댕이) 50g(5개), 다시마 15g(5cm), 간장 15g(1큰술)","['뒤포리', '찹쌀', '다시마', '간장', '참기름', '올리브오일', '표고버섯근대', '현미']"
컵밥,"쌀밥 420g(2컵), 김 4g(1장), 배추김치 30g, 달걀 200g(4개),
베이컨 30g(3장), 소시지 30g(1개), 시금치 70g, 고춧가루 20g(1큰술), 참기름 6g(1작은술), 마늘 6g(1작은술)","['배추김치', '베이컨', '소시지', '달걀', '시금치', '마늘', '참기름', '쌀밥', '고춧가루']"
두릅 샐러드,"●주재료 : 두릅 20g(2개), 가지 20g(1/5개), 레몬(껍질) 12g(1큰술), 청경채 25g(2개), 슬라이스연어 30g(2장), 크림치즈 5g(1작은술), 레몬 5g(1작은술)
●드레싱 : 레몬즙15g(1큰술), 레드와인 30g(2큰술), 설탕 5g(1작은술)","['슬라이스연어', '청경채', '레몬', '가지', '두릅', '레드와인', '설탕', '크림치즈', '레몬즙']"
구운 바나나,"●주재료 : 바나나 100g(1개), 설탕 5g(1/2작은술)
●장식 : 다진 호두 15g(1큰술)","['다진호두', '설탕', '바나나']"
과일무스 테린,"●주재료 : 딸기 100g(5개), 키위 100g(1개), 매실원액 15g(1큰술), 젤라틴 20g
●소스 : 망고 20g(1/5개), 우유 45g(3큰술)","['젤라틴', '딸기', '망고', '매실원액', '키위', '우유']"
가지볶음밥,"재료 단호박(100g), 양파(30g), 석박지(35g), 파프리카(40g), 가지(90g)
두부(50g), 밥(180g), 세발나물(10g)
양념 다진 마늘(5g), 저염된장(12g), 후춧가루(0.3g), 들기름(4g)","['양파', '두부', '세발나물', '후춧가루', '가지', '저염된장', '들기름', '양념다진마늘', '재료단호박', '파프리카', '석박지']"
닭고기볶음밥,"재료 쌀(80g), 완두콩(10g), 닭고기(100g), 대추(10g), 수삼(20g)
양파(20g), 당근(10g)
양념 강황가루(3g), 맛술(15g)","['양파', '완두콩', '당근', '맛술', '재료쌀', '닭고기', '양념강황가루', '수삼', '대추']"
토마토라면,"재료 애호박(30g), 양파(20g), 청양고추(5g), 대파(5g), 토마토(300g)
라면스프(3g), 라면(100g)
육수 다시마(2.5g), 멸치(2.5g), 무(10g), 물(250g)","['양파', '재료애호박', '육수다시마', '라면스프', '멸치', '청양고추', '라면', '토마토', '대파']"
토마토샐러드라면,"재료 양상추(80g), 치커리(15g), 굵은 면발 라면(55g), 삶은 닭가슴살(50g)
방울토마토(15g), 파슬리가루(0.1g)
소스 설탕(2g), 식초(1.5g), 레몬즙(1g), 저염간장(3g), 다진 마늘(1g)
다진 토마토(50g), 다진 양파(4g), 올리브유(1.5g)","['굵은면발라면', '삶은닭가슴살', '올리브유', '다진마늘', '파슬리가루', '다진토마토', '재료양상추', '저염간장', '방울토마토', '다진양파', '치커리', '레몬즙', '식초']"
검은깨라면크로켓,"재료 검은깨(8g), 빵가루(80g), 라면(50g), 달걀(45g), 녹말가루(15g)
다진 쇠고기(40g), 다진 땅콩(5g), 어린잎채소(2g), 방울토마토(20g) 소스 통계피(20g), 생강(10g), 조청(10g), 물엿(20g), 흑설탕(20g)
발사믹드레싱 발사믹식초(15g), 올리브유(5g)","['조청', '흑설탕', '다진쇠고기', '다진땅콩', '생강', '올리브유', '재료검은깨', '빵가루', '달걀', '물엿', '어린잎채소', '라면', '녹말가루']"
김말이두부스테이크,"두부 100g, 김 2g, 허브소금 1g
소 : 다진쇠고기 20g, 양파20g, 표고버섯10g, 새송이버섯 10g, 밀가루 10g, 흰후추 0.3g
곁들이채소 : 고구마 50g, 단호박 50g, 양파 70g, 아스파라거스 10g
레드와인소스 : 레드와인 25g, 토마토 20g, 마늘 3g, 버터 5g, 올리브유 20g, 허브소금 1g
발사믹식초 15g","['아스파라거스', '두부', '표고버섯', '양파', '허브소금', '밀가루', '버터', '올리브유', '흰후추', '단호박', '마늘', '발사믹식초', '새송이버섯', '토마토', '소다진쇠고기', '곁들이채소고구마']"
연어롤샐러드,"연어 60g, 단호박 50g, 방울토마토 4개, 시금치 50g, 영양부추 50g
소스 : 잣 5g, 더덕 45g, 마늘 5g, 식초 15g, 올리브오일 30g, 다진홍고추 15g","['단호박', '시금치', '마늘', '영양부추', '다진홍고추', '방울토마토개', '올리브오일', '식초', '더덕', '연어']"
비타민이유식,"멜론 300g, 브로콜리 30g, 감자 60g, 요거트 15g, 설탕 5g","['멜론', '감자', '설탕', '브로콜리', '요거트']"
한입꼬치구이,"통삼겹 200g, 고구마 100g,
대파 40g, 2가지색 미니파프리카 40g, 청피망 40g, 양송이 40g, 건고추 3g,
어간장 10g, 통후추 1g, 로즈마리 1g. 마늘기름 15g
소스 : 오렌지주스 100g, 레몬즙 15g, 올리고당 15g, 후추 1g, 다진마늘 10g","['레몬즙', '가지색미니파프리카', '청피망', '건고추', '다진마늘', '통후추', '양송이', '올리고당', '어간장', '로즈마리마늘기름', '후추', '대파', '통삼겹', '고구마']"
간장곤약볶음국수,"곤약국수 200g, 사과 60g, 레몬즙 15g
볶음양념 : 맛간장 30g, 다진생강 3g, 다진양파 15g, 버터 10g
소스 : 다진양파 10g, 흑임자 7g, 플레인요거트 30g, 그라놀라 30g, 꿀 10g","['사과', '다진양파', '버터', '곤약국수', '플레인요거트', '다진생강', '그라놀라', '볶음양념맛간장', '흑임자', '레몬즙']"
닭가슴살리조또,"닭가슴살 100g, 찰보리 50g, 찹쌀 50g, 청피망 50g, 표고버섯 30g, 청양고추 10g, 양파 60g
다진마늘 15g, 홍피망 50g, 생크림 30g, 우유 30g, 올리브오일 50g, 함초소금 2g
고명 : 건조토마토 10g","['함초소금', '양파', '표고버섯', '찰보리', '홍피망', '청피망', '찹쌀', '다진마늘', '청양고추', '닭가슴살', '올리브오일', '생크림', '우유']"
녹차귀리라떼,"브로콜리 60g, 귀리 30g, 닭육수 250ml, 우유150ml
녹차가루 10g, 아몬드슬라이스 20g, 무염버터 5g, 흰후추 3g, 소금 0.5g
우유 50ml, 생크림 50ml, 다진양파 15g","['우유', '무염버터', '흰후추', '닭육수', '귀리', '녹차가루', '소금', '아몬드슬라이스', '다진양파', '생크림', '브로콜리']"
계란숙샐러드,"달걀 120g, 쇠고기 50g, 게맛살 20g, 감자 1개, 천연조미료 5g, 물 200g
브로콜리 50g, 방울토마토 60g, 미니파프리카 25g, 영양부추 5g
소스 : 매실청 30g, 발사믹식초 15g, 올리브오일 15g, 후추 1g, 식초 15g","['게맛살', '감자개', '달걀', '쇠고기', '천연조미료', '방울토마토', '영양부추', '미니파프리카', '올리브오일', '후추', '브로콜리', '식초', '발사믹식초']"
한식풍닭가슴살스테이크,"닭가슴살 280g, 미나리 50g, 쌀 50g, 청경채 60g
무조림 : 무 150g, 맛간장 15g, 고춧가루 15g, 다진마늘 5g, 물 200g
소스 : 된장 15g, 매실청 15g, 들기름 10g, 다진양파 10g, 검은깨 5g, 다진마늘 5g","['맛간장', '청경채', '검은깨', '무조림무', '다진마늘', '들기름', '미나리', '닭가슴살', '다진양파', '매실청', '고춧가루']"
강황고구마밥,"쌀 100g, 강황가루 15g, 고구마 50g, 닭육수 300g
양념장 : 영양부추 10g, 다진청고추 15g, 다진홍고추 15g, 다진양파 15g, 간편 어간장 15g","['강황가루', '다진청고추', '닭육수', '간편어간장', '다진홍고추', '다진양파', '고구마']"
된장시금치옹심이,"시금치 150g, 감자 80g, 애호박 30g, 당근 20g, 양파 50g
청고추 15g, 홍고추 15g, 밀가루 30g
국물 : 바지락 100g, 저염된장 25g, 볶은소금 1g","['양파', '당근', '청고추', '밀가루', '볶은소금', '홍고추', '시금치', '감자', '저염된장', '애호박', '국물바지락']"
불고기 소스를 곁들인 두부구이,"●두부구이 : 두부 70g(1/5모), 전분 10g(2작은술), 흑임자 2g(1/3작은술), 식용유 5g(1작은술), 후추약간
●불고기 양념 : 간장 3g(2/3작은술), 올리고당 3g(2/3작은술), 생강즙 3g(2/3작은술), 물 30ml(2큰술)","['두부', '식용유', '간장', '생강즙', '올리고당', '전분', '흑임자']"
매생이순두부탕,"●주재료 : 풋고추 5g(1/3개), 순두부 80g(1/3모), 매생이 120g, 홍합 120g
●육수 : 다시마 20g(10cm), 멸치 60g(10개), 보리된장 15g(1큰술)","['순두부', '홍합', '다시마', '멸치', '매생이', '보리된장', '풋고추']"
겨자 오이고추소박이,"●주재료 : 오이고추 15g(1개), 당근 5g(5cm), 무 5g(5cm), 부추 5g(6cm), 양파 5g(5cm)
●소스 : 겨자분말 5g(1작은술), 식초 10g(2작은술), 설탕 10g(2작은술)","['당근', '양파', '부추', '식초', '설탕', '겨자분말', '오이고추']"
실치오이 초절임,"매실액 10g(2작은술), 실치 40g(1컵), 식초 20g(1⅓큰술), 오이 80g(1/2개)","['실치', '매실액', '식초', '오이']"
비트무절임,"●주재료 : 무 200g(1/3개), 비트 10g(5cm), 쪽파 10g(10cm)
●초절이 소스 : 소금 2g(1/2작은술), 식초 20g(1⅓큰술), 설탕 10g(2작은술)","['비트', '쪽파', '소금', '설탕', '식초']"
감귤 김치,"●주재료 : 배추 10g(1/60개), 미나리 5g, 홍고추 5g(1/2개), 소금 5g(1작은술)
●김치국물 : 귤 100g(1개), 고춧가루 5g(1작은술), 다진 마늘 10g(2작은술), 생강즙 5g(1작은술)","['홍고추', '배추', '다진마늘', '소금', '생강즙', '미나리', '고춧가루']"
두부달걀덮밥,"재료 두부(50g), 가지(20g), 표고버섯(30g), 양파(10g), 달걀(15g)
밥(200g), 가다랑어포(1g)
육수 재료 물(200g), 다시마(1g), 가다랑어포(1g)
양념 후춧가루(0.1g), 녹말가루(1g), 청주(1g), 설탕(1g), 간장(2g), 녹말물(18g)","['재료두부', '표고버섯', '양파', '가다랑어포', '양념후춧가루', '녹말물', '달걀', '다시마', '가지', '설탕', '육수재료물', '간장', '녹말가루', '청주']"
봄나물밥,"•필수재료 : 현미(30g), 멥쌀(60g), 쑥갓(20g), 달래(10g)
•두부양념장 : 고추장(5g), 된장(5g), 다시마 육수(60g), 두부(15g)","['두부', '다시마육수', '고추장', '된장', '쑥갓', '멥쌀', '달래', '현미']"
가지연어구이,"재료 가지(40g), 토마토(20g), 연어(200g), 파슬리가루(1g)
올리브유(5g), 마늘(10g)
소스 사과(20g), 유자청(30g), 레몬즙(5g)","['올리브유', '파슬리가루', '마늘', '재료가지', '토마토', '레몬즙', '유자청', '연어']"
갈릭칩동태구이,"재료 동태포(150g), 통마늘(10g)
양념 맛술(10g), 저염된장(10g)","['통마늘', '저염된장', '양념맛술', '재료동태포']"
고구마두부스테이크,"스테이크재료 두부(200g), 고구마(130g), 마늘(15g), 대파(20g)
양파(60g), 다진 견과류(20g), 찹쌀가루(30g)
청국장소스 양송이버섯(20g), 다시마육수(80g), 청국장(15g)
유 자청(10g), 녹말가루(5g)","['양파', '스테이크재료두부', '다시마육수', '청국장', '마늘', '다진견과류', '녹말가루', '대파', '유자청', '고구마', '찹쌀가루']"
닭가슴살카나페,"재료 고구마(100g), 우유(110g), 백김치(40g)
비트(40g), 닭가슴살(100g)
후춧가루(0.3g), 새싹(1g), 바나나식초(80g)","['바나나식초', '새싹', '비트', '백김치', '재료고구마', '후춧가루', '닭가슴살', '우유']"
삼색꼬치구이,"재료 돼지고기(목살, 120g), 파인애플(30g), 브로콜리(20g), 방울토마토(40g)
배사과소스 배(30g), 사과(50g), 레몬즙(5g), 꿀(5g)","['사과', '재료돼지고기목살', '방울토마토', '파인애플', '레몬즙', '브로콜리']"
꽁치채소말이,"재료 꽁치살(200g), 마늘종(30g), 양파(40g), 파프리카(100g)
밀가루(30g), 깻잎(3g), 무순(8g), 새싹(8g)
오렌지소스 오렌지(200g), 레몬즙(15g), 설탕(0.3g), 고운 소금(0.3g)","['양파', '새싹', '밀가루', '깻잎', '고운소금', '마늘종', '무순', '설탕', '파프리카', '레몬즙', '재료꽁치살']"
차돌박이구이,"재료 연근(30g), 미나리(20g), 오렌지(50g), 오렌지주스(50g)
차돌박이(60g), 어린잎채소(10g)
홍초물 설탕(5g), 홍초(20g), 물(10g)","['오렌지', '차돌박이', '홍초물설탕', '재료연근', '어린잎채소', '미나리', '홍초', '오렌지주스']"
간장아귀찜,"재료 아귀(150g), 새우(20g), 미나리(15g), 풋고추(5g), 붉은 고추(5g)
콩나물무침 콩나물(30g), 참기름(3g), 참깨(1g)
간장소스 설탕(1g), 저염간장(3g), 청주(15g), 다시마물(50g)
아귀찜양념 다진 양파(50g), 다진 생강(5g), 다진 마늘(10g)","['다시마물', '재료아귀', '콩나물무침콩나물', '다진마늘', '다진생강', '붉은고추', '저염간장', '참기름', '미나리', '새우', '아귀찜양념다진양파', '풋고추', '참깨', '청주']"
